,unit,carriage,destination,origin,2019
298,MIO_TKM,HIRE,DK,EE,22.0
299,MIO_TKM,HIRE,DK,EL,95.0
300,MIO_TKM,HIRE,DK,ES,543.0
302,MIO_TKM,HIRE,DK,FI,
303,MIO_TKM,HIRE,DK,FR,6.0
304,MIO_TKM,HIRE,DK,HR,22.0
305,MIO_TKM,HIRE,DK,HU,75.0
306,MIO_TKM,HIRE,DK,IE,
307,MIO_TKM,HIRE,DK,IT,
308,MIO_TKM,HIRE,DK,LI,
309,MIO_TKM,HIRE,DK,LT,145.0
310,MIO_TKM,HIRE,DK,LU,1.0
311,MIO_TKM,HIRE,DK,LV,7.0
312,MIO_TKM,HIRE,DK,NL,393.0
313,MIO_TKM,HIRE,DK,NO,69.0
314,MIO_TKM,HIRE,DK,PL,1566.0
315,MIO_TKM,HIRE,DK,PT,26.0
316,MIO_TKM,HIRE,DK,RO,93.0
317,MIO_TKM,HIRE,DK,SE,36.0
318,MIO_TKM,HIRE,DK,SI,55.0
319,MIO_TKM,HIRE,DK,SK,62.0
320,MIO_TKM,HIRE,DK,UK,8.0
350,MIO_TKM,HIRE,EE,AT,
351,MIO_TKM,HIRE,EE,BE,
352,MIO_TKM,HIRE,EE,CZ,
353,MIO_TKM,HIRE,EE,DE,
354,MIO_TKM,HIRE,EE,DK,
355,MIO_TKM,HIRE,EE,EL,
356,MIO_TKM,HIRE,EE,FI,
357,MIO_TKM,HIRE,EE,HR,
358,MIO_TKM,HIRE,EE,HU,12.0
359,MIO_TKM,HIRE,EE,LT,167.0
360,MIO_TKM,HIRE,EE,LV,317.0
361,MIO_TKM,HIRE,EE,NL,15.0
362,MIO_TKM,HIRE,EE,NO,
363,MIO_TKM,HIRE,EE,PL,191.0
364,MIO_TKM,HIRE,EE,RO,
365,MIO_TKM,HIRE,EE,SE,1.0
366,MIO_TKM,HIRE,EE,SI,
367,MIO_TKM,HIRE,EE,SK,
394,MIO_TKM,HIRE,EL,AT,31.0
395,MIO_TKM,HIRE,EL,BE,
396,MIO_TKM,HIRE,EL,BG,461.0
397,MIO_TKM,HIRE,EL,CH,
398,MIO_TKM,HIRE,EL,CY,1.0
399,MIO_TKM,HIRE,EL,CZ,37.0
400,MIO_TKM,HIRE,EL,DE,13.0
401,MIO_TKM,HIRE,EL,DK,
402,MIO_TKM,HIRE,EL,EE,
403,MIO_TKM,HIRE,EL,ES,27.0
405,MIO_TKM,HIRE,EL,FI,
406,MIO_TKM,HIRE,EL,FR,
407,MIO_TKM,HIRE,EL,HR,
408,MIO_TKM,HIRE,EL,HU,38.0
409,MIO_TKM,HIRE,EL,IE,
410,MIO_TKM,HIRE,EL,IT,31.0
411,MIO_TKM,HIRE,EL,LT,21.0
412,MIO_TKM,HIRE,EL,LU,
413,MIO_TKM,HIRE,EL,LV,2.0
414,MIO_TKM,HIRE,EL,NL,50.0
415,MIO_TKM,HIRE,EL,NO,
416,MIO_TKM,HIRE,EL,PL,406.0
417,MIO_TKM,HIRE,EL,PT,
418,MIO_TKM,HIRE,EL,RO,150.0
419,MIO_TKM,HIRE,EL,SE,16.0
420,MIO_TKM,HIRE,EL,SI,63.0
421,MIO_TKM,HIRE,EL,SK,
422,MIO_TKM,HIRE,EL,UK,
423,MIO_TKM,HIRE,ES,AT,33.0
424,MIO_TKM,HIRE,ES,BE,31.0
425,MIO_TKM,HIRE,ES,BG,114.0
426,MIO_TKM,HIRE,ES,CH,5.0
427,MIO_TKM,HIRE,ES,CY,0.0
428,MIO_TKM,HIRE,ES,CZ,309.0
429,MIO_TKM,HIRE,ES,DE,405.0
430,MIO_TKM,HIRE,ES,DK,18.0
431,MIO_TKM,HIRE,ES,EE,19.0
432,MIO_TKM,HIRE,ES,EL,360.0
434,MIO_TKM,HIRE,ES,FI,44.0
435,MIO_TKM,HIRE,ES,FR,581.0
436,MIO_TKM,HIRE,ES,HR,38.0
437,MIO_TKM,HIRE,ES,HU,221.0
438,MIO_TKM,HIRE,ES,IE,26.0
439,MIO_TKM,HIRE,ES,IT,166.0
440,MIO_TKM,HIRE,ES,LI,
441,MIO_TKM,HIRE,ES,LT,257.0
442,MIO_TKM,HIRE,ES,LU,2.0
443,MIO_TKM,HIRE,ES,LV,296.0
444,MIO_TKM,HIRE,ES,NL,142.0
445,MIO_TKM,HIRE,ES,NO,
446,MIO_TKM,HIRE,ES,PL,3068.0
447,MIO_TKM,HIRE,ES,PT,2379.0
